# Taylor and Grinspoon (2009) 
#   Temperature (K)       Pressure (mbar)
735.8732876712331   100000
630.3938356164385   30921.851254950972
563.2705479452056   14848.460087447633
506.9349315068493   7672.833112592115
415.8390410958904   2747.5022268884945
350.51369863013707   1226.014411452754
303.1678082191782   681.7549793373146
265.4109589041096   253.2443839266884
236.04452054794524   75.48768486757236
212.0719178082192   17.40636012835992
195.89041095890417   4.163600255825453
172.5171232876712   0.6901413564263571
168.92123287671234   0.14255494959755405
174.31506849315065   0.03287109407485823
174.9143835616439   0.001167499322368435
178.51027397260276   0.00030052188634263226
185.10273972602744   0.00009292693068344128
