# Catling & Kasting (2017)
#   Temperature (K)       Pressure (bar)
293.2314410480349   0.976636743625257
273.14410480349346   0.6381578728357822
257.4235807860262   0.45402962273069575
239.51965065502185   0.30521058361078385
226.41921397379912   0.22982448939029113
215.93886462882102   0.16821808705011676
215.5021834061135   0.08760020721371825
221.6157205240175   0.03635590405810199
232.09606986899558   0.015088454718574276
243.44978165938863   0.007014486653486086
256.11353711790395   0.0034513394822838286
273.14410480349346   0.0013923139238420025
275.764192139738   0.0010785845858273197
271.3973799126638   0.0007459160265713125
251.3100436681222   0.00031847847289317885
233.40611353711785   0.00013217517598819114
221.17903930131007   0.00007284889992084945
216.37554585152833   0.00004130631257274622
214.62882096069876   0.000010287748259224118

