# Catling & Kasting (2017)
#   Temperature (K)       Pressure (bar)
299.3449781659388   6.722261463363103
261.353711790393   4.2696290406455155
226.85589519650654   2.7118451497427185
196.28820960698687   1.7224222634271855
167.03056768558946   1.0336504942497853
145.63318777292574   0.6948468884081542
109.82532751091696   0.1831612823976298
108.5152838427947   0.13792099770952687
112.00873362445412   0.10684333442628252
131.2227074235808   0.04693079439396262
142.13973799126637   0.02181770347288794
150.43668122270742   0.00985915820844753
158.7336244541484   0.004455235203832919
164.41048034934494   0.0020711987051236177
169.21397379912662   0.0007673796303886376
127.72925764192138   0.3517233751674332
