# Catling & Kasting (2017)
#   Temperature (K)       Pressure (bar)
93.66812227074234   1.494644773025294
85.37117903930135   0.976636743625257
78.38427947598257   0.569700784173472
73.14410480349346   0.3323231340683676
70.9606986899563   0.14597250040039286
71.8340611353712   0.06786130024130793
77.51091703056767   0.04189638881882866
87.99126637554588   0.03245589834878689
100.21834061135371   0.02816384800108881
117.24890829694323   0.021207462433118905
127.72925764192138   0.01690153223424814
138.2096069868996   0.01202491833217747
148.68995633187774   0.0068182915024158405
159.1703056768559   0.003550651175085678
166.5938864628821   0.0016981633596880876
169.21397379912662   0.0007673796303886376
